agrarian,(adj) 土地的;耕地的 :農業的; an agrarian movement 農業改革運動
agronomist,(n.)農 (藝) 學家
barley,(n.) 大麥
barn,(n.) 穀倉
basil,(n.) 羅勒 (一種帶香味可用於烹調的植物)
crop,(n.) 農作物 : 收成; crop rotation 輪作;the main crops of a country 一個國家的主要作物
cropland,(n.) 農地，農田
grain,(n.) 穀物
millet,(n.) 小米，粟
sow,(v.) 播種
wheat,(n.) 小麥
windmill,"(n,) 風車"
cultivation,(n.) 耕作，耕種
soil,(n.) 土壤; poor soil 貧脊的土壤; good/fertile/rich soil 肥沃的土壤
soil fertility,(n.) 土壤肥沃度
soil conservation,(n.) 土壤保持
vegetation,(n.) (一地區的) 植物 ;植被; tropical vegetation 熱帶植物
exhaustion,(n.) 耗盡，枯竭
weed,(v.) 除草 (n.) 雜草; weed a garden 除去花園的雜草
regenerate,(v.) 再生
fallow,(adj.) 休耕的 (n.) 休耕地; lay land fallow 土地休耕
the slash-and-burn method,(n.) 刀耕火種法 (砍伐土地上的草木並燒成灰當肥料、播種後不再施肥的耕作法) ; slash (n.) (v.) 砍，砍伐
hoe,(n.) 鋤頭
plow,(v.) 犁，耕(= cultivate/furrow)
degrade,(v.) 使 (土地) 退化 、劣化
region,(n.) 地區， 區域; tropical regions 熱帶地區
agrichemical,(n.) 農藥; insecticide (n.) 殺蟲劑 (= pesticide)
fertilizer,(n.) 肥料 (尤指化學肥料)
herbicide,(n.) 除草劑
nutrient,(n.) 養分
livestock,(n.) 家畜 (= stock/domestic animals)
dairy,(adj.) 乳製的; dairy products 乳製品
intensive,(adj.) 密集的，集中的; intensive agriculture 集約農業
prune,(v.) 修剪 (樹枝) ，修整 (花木)
deplete,(v.) 使枯竭，耗盡(資源等); Our supplies of food are rather depleted. 我們的糧食供給已經消耗殆盡
depletion,(n.) 枯竭，用盡